# Time (s),Altitude (m)
46.715,1.38e4
46.765,1.381e4
46.815,1.381e4
46.865,1.382e4
46.915,1.383e4
46.965,1.383e4
47.015,1.384e4
47.065,1.384e4
47.115,1.385e4
47.165,1.386e4
47.215,1.386e4
47.265,1.387e4
47.315,1.388e4
47.365,1.388e4
47.415,1.389e4
47.465,1.389e4
47.515,1.39e4
47.565,1.391e4
47.615,1.391e4
47.665,1.392e4
47.715,1.392e4
47.765,1.393e4
47.815,1.394e4
47.865,1.394e4
47.915,1.395e4
47.965,1.395e4
48.015,1.396e4
48.065,1.396e4
48.115,1.397e4
48.165,1.398e4
48.215,1.398e4
48.265,1.399e4
48.315,1.399e4
48.365,1.4e4
48.415,1.4e4
48.465,1.401e4
48.515,1.401e4
48.565,1.402e4
48.615,1.403e4
48.665,1.403e4
48.715,1.404e4
48.765,1.404e4
48.815,1.405e4
48.865,1.405e4
48.915,1.406e4
48.965,1.406e4
49.015,1.407e4
49.065,1.407e4
49.115,1.408e4
49.165,1.408e4
49.215,1.409e4
49.265,1.409e4
49.315,1.41e4
49.365,1.41e4
49.415,1.411e4
49.465,1.411e4
49.515,1.412e4
49.565,1.412e4
49.615,1.413e4
49.665,1.413e4
49.715,1.414e4
49.765,1.414e4
49.815,1.415e4
49.865,1.415e4
49.915,1.416e4
49.965,1.416e4
50.015,1.417e4
50.065,1.417e4
50.115,1.418e4
50.165,1.418e4
50.215,1.419e4
50.265,1.419e4
50.315,1.42e4
50.365,1.42e4
50.415,1.421e4
50.465,1.421e4
50.515,1.421e4
50.565,1.422e4
50.615,1.422e4
50.665,1.423e4
50.715,1.423e4
50.765,1.424e4
50.815,1.424e4
50.865,1.425e4
50.915,1.425e4
50.965,1.425e4
51.015,1.426e4
51.065,1.426e4
51.115,1.427e4
51.165,1.427e4
51.215,1.427e4
51.265,1.428e4
51.315,1.428e4
51.365,1.429e4
51.415,1.429e4
51.465,1.43e4
51.515,1.43e4
51.565,1.43e4
51.615,1.431e4
51.665,1.431e4
51.715,1.431e4
51.765,1.432e4
51.815,1.432e4
51.865,1.433e4
51.915,1.433e4
51.965,1.433e4
52.015,1.434e4
52.065,1.434e4
52.115,1.435e4
52.165,1.435e4
52.215,1.435e4
52.265,1.436e4
52.315,1.436e4
52.365,1.436e4
52.415,1.437e4
52.465,1.437e4
52.515,1.437e4
52.565,1.438e4
52.615,1.438e4
52.665,1.438e4
52.715,1.439e4
52.765,1.439e4
52.815,1.439e4
52.865,1.44e4
52.915,1.44e4
52.965,1.44e4
53.015,1.441e4
53.065,1.441e4
53.115,1.441e4
53.165,1.442e4
53.215,1.442e4
53.265,1.442e4
53.315,1.443e4
53.365,1.443e4
53.415,1.443e4
53.465,1.444e4
53.515,1.444e4
53.565,1.444e4
53.615,1.444e4
53.665,1.445e4
53.715,1.445e4
53.765,1.445e4
53.815,1.446e4
53.865,1.446e4
53.915,1.446e4
53.965,1.446e4
54.015,1.447e4
54.065,1.447e4
54.115,1.447e4
54.165,1.448e4
