# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
56.64,1.456e4,29.327,-9.805,93.551,9.808,5083.236,11.988,5083.25,0.135,88.835,0.233,35.353,-117.751,9.751,0.221,0,0.015,7.688e-5,6.78e4,5330,130.948,0.817,430.271,352.519,3.222,0.326,6.903e6,0,15.728,0.39,0.39,0.339,0.006,0.045,0.049,0.135,4.254e-4,0,0,0,0,0.023,0.013,24.13,457.303,17.859,0.248,3.402,-56.5,116.964,297.06,0.05,1.162
56.69,1.457e4,28.836,-9.809,93.387,9.811,5087.677,12.008,5087.691,0.135,88.824,0.23,35.353,-117.751,9.751,0.18,0,0.015,1.351e-4,6.78e4,5330,130.948,0.817,430.479,352.519,3.231,0.324,6.873e6,0,15.59,0.39,0.39,0.339,0.006,0.045,0.04,0.106,-2.733e-4,0,0,0,0,0.024,0.013,24.13,457.303,17.59,0.249,3.14,-56.5,116.938,297.06,0.05,1.163
56.74,1.457e4,28.346,-9.808,93.226,9.811,5092.118,12.028,5092.132,0.135,88.812,0.228,35.353,-117.751,9.751,0.171,0,0.015,1.391e-4,6.78e4,5330,130.948,0.817,430.522,352.519,3.233,0.324,6.854e6,0,15.509,0.39,0.39,0.339,0.006,0.045,0.038,0.099,4.648e-4,0,0,0,0,0.024,0.013,24.13,457.303,17.319,0.249,3.054,-56.5,116.912,297.06,0.05,1.163
56.79,1.457e4,27.856,-9.808,93.067,9.81,5096.558,12.049,5096.572,0.135,88.801,0.227,35.353,-117.751,9.751,0.168,0,0.015,1.304e-4,6.78e4,5330,130.948,0.817,430.537,352.519,3.233,0.323,6.838e6,0,15.438,0.39,0.39,0.34,0.006,0.045,0.037,0.096,-4.093e-4,0,0,0,0,0.024,0.013,24.13,457.303,17.048,0.25,2.998,-56.5,116.886,297.06,0.05,1.164
56.84,1.457e4,27.365,-9.81,92.911,9.813,5100.998,12.069,5101.012,0.136,88.789,0.225,35.353,-117.751,9.751,0.137,0,0.015,1.961e-4,6.78e4,5330,130.948,0.817,430.692,352.519,3.24,0.322,6.811e6,0,15.317,0.39,0.39,0.34,0.006,0.045,0.03,0.074,-2.195e-4,0,0,0,0,0.025,0.013,24.13,457.303,16.775,0.25,2.782,-56.5,116.861,297.06,0.05,1.165
56.89,1.457e4,26.875,-9.796,92.757,9.799,5105.437,12.089,5105.451,0.136,88.778,0.231,35.353,-117.751,9.751,0.242,0,0.015,-1.651e-5,6.78e4,5330,130.948,0.817,430.148,352.519,3.217,0.323,6.838e6,0,15.449,0.39,0.39,0.34,0.006,0.045,0.054,0.148,2.281e-4,0,0,0,0,0.025,0.013,24.13,457.303,16.502,0.251,3.366,-56.5,116.836,297.06,0.05,1.165
56.94,1.457e4,26.385,-9.795,92.605,9.797,5109.876,12.109,5109.89,0.136,88.767,0.23,35.353,-117.751,9.751,0.246,0,0.015,-3.473e-5,6.78e4,5330,130.948,0.817,430.126,352.519,3.216,0.323,6.826e6,0,15.397,0.39,0.39,0.34,0.006,0.045,0.055,0.151,5.969e-5,0,0,0,0,0.025,0.013,24.13,457.303,16.227,0.252,3.363,-56.5,116.812,297.06,0.05,1.166
56.99,1.457e4,25.896,-9.786,92.456,9.789,5114.314,12.129,5114.328,0.136,88.755,0.233,35.353,-117.751,9.751,0.303,0,0.015,-9.23e-5,6.78e4,5330,130.948,0.817,429.829,352.519,3.204,0.323,6.837e6,0,15.451,0.39,0.39,0.34,0.006,0.045,0.068,0.191,7.181e-7,0,0,0,0,0.025,0.013,24.13,457.303,15.951,0.252,3.692,-56.5,116.788,297.06,0.05,1.166
57.04,1.458e4,25.406,-9.791,92.309,9.793,5118.751,12.15,5118.765,0.136,88.743,0.229,35.353,-117.751,9.751,0.257,0,0.016,-7.39e-5,6.78e4,5330,130.948,0.817,430.064,352.519,3.214,0.322,6.805e6,0,15.308,0.39,0.39,0.34,0.006,0.045,0.057,0.158,1.724e-4,0,0,0,0,0.026,0.013,24.13,457.303,15.673,0.253,3.394,-56.5,116.764,297.06,0.05,1.167
57.09,1.458e4,24.917,-9.794,92.164,9.796,5123.188,12.17,5123.202,0.136,88.732,0.227,35.353,-117.751,9.751,0.222,0,0.016,-5.798e-5,6.78e4,5330,130.948,0.817,430.243,352.519,3.221,0.321,6.778e6,0,15.187,0.39,0.39,0.34,0.006,0.045,0.049,0.133,1.481e-4,0,0,0,0,0.026,0.013,24.13,457.303,15.393,0.253,3.163,-56.5,116.741,297.06,0.05,1.168
57.14,1.458e4,24.427,-9.794,92.022,9.797,5127.624,12.19,5127.639,0.136,88.721,0.225,35.353,-117.751,9.751,0.21,0,0.016,-6.286e-5,6.78e4,5330,130.948,0.817,430.302,352.519,3.224,0.32,6.761e6,0,15.112,0.39,0.39,0.34,0.006,0.045,0.047,0.124,-3.521e-4,0,0,0,0,0.027,0.013,24.13,457.303,15.111,0.254,3.076,-56.5,116.719,297.06,0.05,1.168
57.19,1.458e4,23.937,-9.784,91.882,9.787,5132.06,12.21,5132.074,0.136,88.709,0.229,35.353,-117.751,9.751,0.281,0,0.016,-1.372e-4,6.78e4,5330,130.948,0.817,429.932,352.519,3.208,0.321,6.782e6,0,15.211,0.39,0.39,0.34,0.006,0.045,0.063,0.174,4.998e-4,0,0,0,0,0.027,0.013,24.13,457.303,14.829,0.254,3.535,-56.5,116.697,297.06,0.05,1.169
57.24,1.458e4,23.448,-9.776,91.745,9.778,5136.495,12.231,5136.51,0.136,88.698,0.232,35.353,-117.751,9.751,0.34,0,0.016,-1.796e-4,6.78e4,5330,130.948,0.817,429.623,352.519,3.195,0.322,6.799e6,0,15.295,0.39,0.39,0.34,0.006,0.045,0.076,0.216,-2.519e-4,0,0,0,0,0.027,0.013,24.13,457.303,14.544,0.255,3.944,-56.5,116.675,297.06,0.05,1.169
57.29,1.458e4,22.96,-9.769,91.61,9.771,5140.93,12.251,5140.944,0.137,88.686,0.235,35.353,-117.75,9.751,0.388,0,0.016,-2.083e-4,6.78e4,5330,130.948,0.817,429.379,352.519,3.185,0.322,6.813e6,0,15.363,0.39,0.39,0.34,0.006,0.045,0.087,0.249,3.532e-5,0,0,0,0,0.027,0.013,24.13,457.303,14.258,0.255,4.3,-56.5,116.654,297.06,0.05,1.17
57.34,1.458e4,22.472,-9.763,91.477,9.766,5145.364,12.271,5145.378,0.137,88.674,0.236,35.353,-117.75,9.751,0.419,0,0.016,-2.292e-4,6.78e4,5330,130.948,0.817,429.216,352.519,3.179,0.323,6.822e6,0,15.406,0.39,0.391,0.34,0.006,0.045,0.094,0.27,-3.608e-4,0,0,0,0,0.028,0.013,24.13,457.303,13.968,0.256,4.573,-56.5,116.633,297.06,0.05,1.171
57.39,1.458e4,21.983,-9.759,91.347,9.762,5149.797,12.292,5149.812,0.137,88.663,0.238,35.353,-117.75,9.751,0.443,0,0.016,-2.474e-4,6.78e4,5330,130.948,0.817,429.09,352.519,3.173,0.323,6.829e6,0,15.443,0.39,0.391,0.34,0.006,0.045,0.099,0.287,-2.08e-4,0,0,0,0,0.028,0.013,24.13,457.303,13.676,0.256,4.824,-56.5,116.613,297.06,0.05,1.171
57.44,1.458e4,21.496,-9.752,91.22,9.755,5154.23,12.312,5154.244,0.137,88.651,0.241,35.353,-117.75,9.751,0.489,0,0.016,-2.679e-4,6.78e4,5330,130.948,0.817,428.858,352.519,3.164,0.324,6.85e6,0,15.542,0.39,0.391,0.339,0.006,0.045,0.11,0.318,1.609e-4,0,0,0,0,0.029,0.013,24.13,457.303,13.381,0.256,5.262,-56.5,116.593,297.06,0.05,1.172
57.49,1.459e4,21.008,-9.749,91.094,9.752,5158.662,12.333,5158.677,0.137,88.639,0.241,35.353,-117.75,9.751,0.502,0,0.017,-2.83e-4,6.78e4,5330,130.948,0.817,428.792,352.519,3.161,0.325,6.856e6,0,15.575,0.39,0.391,0.339,0.006,0.045,0.113,0.327,-3.796e-4,0,0,0,0,0.029,0.013,24.13,457.303,13.083,0.257,5.495,-56.5,116.574,297.06,0.05,1.173
57.54,1.459e4,20.521,-9.745,90.971,9.748,5163.093,12.353,5163.108,0.137,88.626,0.243,35.353,-117.75,9.751,0.523,0,0.017,-2.991e-4,6.78e4,5330,130.948,0.817,428.685,352.519,3.157,0.325,6.87e6,0,15.641,0.39,0.391,0.339,0.006,0.045,0.118,0.342,-3.073e-4,0,0,0,0,0.03,0.013,24.13,457.303,12.781,0.257,5.826,-56.5,116.555,297.06,0.05,1.173
57.59,1.459e4,20.033,-9.752,90.851,9.755,5167.524,12.373,5167.539,0.137,88.614,0.239,35.353,-117.75,9.751,0.462,0,0.017,-3.064e-4,6.78e4,5330,130.948,0.817,429.002,352.519,3.17,0.324,6.84e6,0,15.502,0.39,0.391,0.339,0.006,0.045,0.104,0.297,2.874e-4,0,0,0,0,0.031,0.013,24.13,457.303,12.475,0.257,5.523,-56.5,116.536,297.06,0.05,1.174
57.64,1.459e4,19.546,-9.762,90.733,9.765,5171.955,12.394,5171.97,0.137,88.603,0.233,35.353,-117.75,9.751,0.371,0,0.017,-3.099e-4,6.78e4,5330,130.948,0.817,429.467,352.519,3.189,0.322,6.794e6,0,15.291,0.39,0.39,0.34,0.006,0.045,0.083,0.233,-3.815e-4,0,0,0,0,0.032,0.013,24.13,457.303,12.167,0.257,4.992,-56.5,116.518,297.06,0.05,1.174
57.69,1.459e4,19.057,-9.764,90.618,9.767,5176.385,12.414,5176.4,0.137,88.591,0.232,35.353,-117.75,9.751,0.349,0,0.017,-3.254e-4,6.78e4,5330,130.948,0.817,429.587,352.519,3.194,0.322,6.787e6,0,15.261,0.39,0.39,0.34,0.006,0.045,0.078,0.216,4.269e-4,0,0,0,0,0.032,0.013,24.13,457.303,11.856,0.257,5.019,-56.5,116.5,297.06,0.05,1.175
57.74,1.459e4,18.569,-9.763,90.505,9.766,5180.814,12.435,5180.829,0.138,88.579,0.232,35.353,-117.75,9.751,0.344,0,0.017,-3.452e-4,6.78e4,5330,130.948,0.817,429.616,352.519,3.195,0.322,6.791e6,0,15.285,0.39,0.39,0.34,0.006,0.045,0.077,0.212,-1.111e-4,0,0,0,0,0.033,0.013,24.13,457.303,11.543,0.257,5.211,-56.5,116.483,297.06,0.05,1.176
57.79,1.459e4,18.081,-9.763,90.395,9.766,5185.242,12.455,5185.257,0.138,88.568,0.232,35.353,-117.75,9.751,0.333,0,0.018,-3.658e-4,6.78e4,5330,130.948,0.817,429.677,352.519,3.198,0.322,6.794e6,0,15.3,0.39,0.39,0.34,0.006,0.045,0.074,0.205,-1.619e-4,0,0,0,0,0.033,0.013,24.13,457.303,11.227,0.257,5.373,-56.5,116.466,297.06,0.05,1.176
57.84,1.459e4,17.593,-9.761,90.287,9.764,5189.671,12.476,5189.686,0.138,88.556,0.233,35.353,-117.75,9.751,0.343,0,0.018,-3.911e-4,6.78e4,5330,130.948,0.817,429.627,352.519,3.196,0.323,6.813e6,0,15.386,0.39,0.39,0.34,0.006,0.045,0.077,0.212,1.805e-4,0,0,0,0,0.034,0.013,24.13,457.303,10.91,0.257,5.756,-56.5,116.45,297.06,0.05,1.177
57.89,1.459e4,17.105,-9.77,90.182,9.773,5194.098,12.496,5194.113,0.138,88.545,0.228,35.353,-117.75,9.751,0.258,0,0.018,-4.126e-4,6.78e4,5330,130.948,0.817,430.076,352.519,3.214,0.321,6.771e6,0,15.197,0.39,0.39,0.34,0.006,0.045,0.057,0.151,-3.685e-4,0,0,0,0,0.034,0.013,24.13,457.303,10.59,0.257,5.274,-56.5,116.434,297.06,0.05,1.178
57.94,1.459e4,16.616,-9.778,90.079,9.78,5198.525,12.517,5198.54,0.138,88.533,0.225,35.353,-117.75,9.751,0.19,0,0.018,-4.459e-4,6.78e4,5330,130.948,0.817,430.435,352.519,3.229,0.32,6.74e6,0,15.058,0.39,0.39,0.34,0.006,0.045,0.042,0.101,1.535e-4,0,0,0,0,0.035,0.013,24.13,457.303,10.269,0.257,4.944,-56.5,116.419,297.06,0.05,1.178
57.99,1.46e4,16.127,-9.781,89.979,9.783,5202.951,12.538,5202.966,0.138,88.522,0.224,35.353,-117.75,9.751,0.155,0,0.018,-4.955e-4,6.78e4,5330,130.948,0.817,430.622,352.519,3.237,0.319,6.731e6,0,15.019,0.39,0.39,0.34,0.006,0.045,0.034,0.077,-2.77e-4,0,0,0,0,0.035,0.013,24.13,457.303,9.947,0.257,4.927,-56.5,116.404,297.06,0.05,1.179
58.04,1.46e4,15.638,-9.786,89.882,9.789,5207.377,12.558,5207.392,0.138,88.511,0.221,35.353,-117.75,9.751,0.096,0,0.018,-5.968e-4,6.78e4,5330,130.948,0.817,430.941,352.519,3.25,0.318,6.705e6,0,14.904,0.39,0.39,0.34,0.006,0.045,0.021,0.033,3.066e-4,0,0,0,0,0.036,0.013,24.13,457.303,9.624,0.257,4.664,-56.5,116.389,297.06,0.05,1.179
58.09,1.46e4,15.148,-9.796,89.787,9.799,5211.802,12.579,5211.817,0.138,88.5,0.215,35.353,-117.75,9.751,0.001,0,0.011,-0.014,6.78e4,5330,130.948,0.817,431.912,352.519,3.29,0.316,6.652e6,0,14.668,0.39,0.39,0.34,0.006,0.045,2.928e-4,-0.004,1.744e-4,0,0,0,0,0.005,0.013,24.13,457.303,9.3,0.257,4.008,-56.5,116.375,297.06,0.05,1.18
58.14,1.46e4,14.658,-9.798,89.695,9.8,5216.227,12.599,5216.242,0.138,88.489,0.215,35.353,-117.75,9.751,0.02,0,-0.018,-7.864e-4,6.78e4,5330,130.948,0.817,431.265,352.519,3.263,0.316,6.651e6,0,14.663,0.39,0.39,0.34,0.006,0.045,0.004,0.05,-7.035e-5,0,0,0,0,-0.036,0.013,24.13,457.303,8.977,0.256,4.088,-56.5,116.362,297.06,0.05,1.181
58.19,1.46e4,14.168,-9.804,89.606,9.806,5220.651,12.62,5220.666,0.139,88.479,0.212,35.353,-117.75,9.751,0.085,0,-0.018,1.255e-4,6.78e4,5330,130.948,0.817,430.952,352.519,3.25,0.314,6.616e6,0,14.51,0.39,0.39,0.34,0.006,0.045,0.019,0.098,-1.166e-4,0,0,0,0,-0.036,0.013,24.13,457.303,8.655,0.256,3.685,-56.5,116.349,297.06,0.05,1.181
58.24,1.46e4,13.678,-9.811,89.519,9.813,5225.075,12.641,5225.09,0.139,88.468,0.208,35.353,-117.75,9.751,0.157,0,-0.018,2.759e-4,6.78e4,5330,130.948,0.817,430.557,352.519,3.234,0.312,6.572e6,0,14.32,0.39,0.39,0.34,0.006,0.044,0.035,0.149,-3.459e-4,0,0,0,0,-0.036,0.013,24.13,457.303,8.333,0.256,3.16,-56.5,116.336,297.06,0.05,1.182
58.29,1.46e4,13.187,-9.814,89.436,9.817,5229.498,12.661,5229.513,0.139,88.458,0.206,35.353,-117.75,9.751,0.2,0,-0.018,3.113e-4,6.78e4,5330,130.948,0.817,430.319,352.519,3.224,0.311,6.548e6,0,14.216,0.39,0.39,0.34,0.006,0.044,0.044,0.18,1.195e-4,0,0,0,0,-0.036,0.013,24.13,457.303,8.013,0.256,2.908,-56.5,116.324,297.06,0.05,1.182
58.34,1.46e4,12.697,-9.816,89.354,9.818,5233.92,12.682,5233.936,0.139,88.448,0.205,35.353,-117.749,9.751,0.228,0,-0.018,3.248e-4,6.78e4,5330,130.948,0.817,430.169,352.519,3.218,0.31,6.534e6,0,14.156,0.39,0.39,0.34,0.006,0.044,0.051,0.199,1.01e-4,0,0,0,0,-0.036,0.013,24.13,457.303,7.694,0.256,2.795,-56.5,116.312,297.06,0.05,1.183
58.39,1.46e4,12.206,-9.816,89.276,9.818,5238.343,12.703,5238.358,0.139,88.437,0.205,35.353,-117.749,9.751,0.232,0,-0.018,3.159e-4,6.78e4,5330,130.948,0.817,430.143,352.519,3.217,0.31,6.536e6,0,14.169,0.39,0.39,0.34,0.006,0.044,0.052,0.202,4.086e-4,0,0,0,0,-0.036,0.013,24.13,457.303,7.378,0.256,2.918,-56.5,116.3,297.06,0.05,1.184
58.44,1.46e4,11.715,-9.818,89.2,9.82,5242.764,12.724,5242.78,0.139,88.427,0.203,35.353,-117.749,9.751,0.267,0,-0.017,3.435e-4,6.78e4,5330,130.948,0.817,429.953,352.519,3.209,0.309,6.512e6,0,14.062,0.39,0.39,0.34,0.006,0.044,0.059,0.226,1.262e-4,0,0,0,0,-0.035,0.013,24.13,457.303,7.063,0.256,2.647,-56.5,116.289,297.06,0.05,1.184
58.49,1.46e4,11.224,-9.815,89.127,9.818,5247.185,12.744,5247.201,0.139,88.417,0.205,35.353,-117.749,9.751,0.249,0,-0.017,3.135e-4,6.78e4,5330,130.948,0.817,430.054,352.519,3.213,0.31,6.531e6,0,14.149,0.39,0.39,0.34,0.006,0.044,0.055,0.213,2.649e-4,0,0,0,0,-0.035,0.013,24.13,457.303,6.751,0.256,3.007,-56.5,116.279,297.06,0.05,1.185
58.54,1.46e4,10.733,-9.814,89.056,9.816,5251.606,12.765,5251.621,0.139,88.407,0.206,35.353,-117.749,9.751,0.248,0,-0.017,3.043e-4,6.78e4,5330,130.948,0.817,430.06,352.519,3.213,0.31,6.535e6,0,14.165,0.39,0.39,0.34,0.006,0.044,0.055,0.211,1.644e-4,0,0,0,0,-0.034,0.013,24.13,457.303,6.44,0.256,3.131,-56.5,116.269,297.06,0.05,1.186
58.59,1.46e4,10.243,-9.812,88.988,9.814,5256.026,12.786,5256.041,0.139,88.396,0.207,35.353,-117.749,9.751,0.237,0,-0.017,2.793e-4,6.78e4,5330,130.948,0.817,430.122,352.519,3.216,0.311,6.547e6,0,14.22,0.39,0.39,0.34,0.006,0.044,0.053,0.203,2.706e-4,0,0,0,0,-0.034,0.013,24.13,457.303,6.132,0.256,3.381,-56.5,116.259,297.06,0.05,1.186
58.64,1.46e4,9.752,-9.814,88.923,9.816,5260.445,12.807,5260.461,0.139,88.386,0.205,35.353,-117.749,9.751,0.266,0,-0.017,3.259e-4,6.78e4,5330,130.948,0.817,429.957,352.519,3.209,0.309,6.515e6,0,14.082,0.39,0.39,0.34,0.006,0.044,0.059,0.223,1.693e-4,0,0,0,0,-0.034,0.013,24.13,457.303,5.825,0.256,2.999,-56.5,116.25,297.06,0.05,1.187
58.69,1.46e4,9.261,-9.815,88.86,9.817,5264.864,12.827,5264.88,0.14,88.376,0.203,35.353,-117.749,9.751,0.284,0,-0.017,3.571e-4,6.78e4,5330,130.948,0.817,429.858,352.519,3.205,0.308,6.491e6,0,13.98,0.39,0.39,0.34,0.006,0.044,0.063,0.235,3.197e-6,0,0,0,0,-0.033,0.013,24.13,457.303,5.521,0.256,2.731,-56.5,116.242,297.06,0.05,1.187
58.74,1.46e4,8.771,-9.813,88.8,9.815,5269.283,12.848,5269.298,0.14,88.366,0.203,35.353,-117.749,9.751,0.283,0,-0.017,3.667e-4,6.78e4,5330,130.948,0.817,429.861,352.519,3.205,0.308,6.484e6,0,13.951,0.39,0.39,0.34,0.006,0.044,0.063,0.234,-3.47e-4,0,0,0,0,-0.033,0.013,24.13,457.303,5.218,0.256,2.698,-56.5,116.233,297.06,0.05,1.188
58.79,1.461e4,8.28,-9.81,88.743,9.812,5273.701,12.869,5273.716,0.14,88.356,0.204,35.353,-117.749,9.751,0.263,0,-0.017,3.471e-4,6.78e4,5330,130.948,0.817,429.97,352.519,3.21,0.309,6.498e6,0,14.01,0.39,0.39,0.34,0.006,0.044,0.059,0.22,3.102e-4,0,0,0,0,-0.032,0.013,24.13,457.303,4.919,0.256,2.952,-56.5,116.226,297.06,0.05,1.189
58.84,1.461e4,7.79,-9.808,88.688,9.81,5278.118,12.89,5278.134,0.14,88.345,0.204,35.353,-117.749,9.751,0.256,0,-0.016,3.535e-4,6.78e4,5330,130.948,0.817,430.006,352.519,3.211,0.308,6.493e6,0,13.991,0.39,0.39,0.34,0.006,0.044,0.057,0.215,3.214e-4,0,0,0,0,-0.032,0.013,24.13,457.303,4.621,0.257,2.947,-56.5,116.218,297.06,0.05,1.189
58.89,1.461e4,7.299,-9.803,88.636,9.805,5282.535,12.911,5282.551,0.14,88.335,0.207,35.353,-117.749,9.751,0.22,0,-0.016,2.876e-4,6.78e4,5330,130.948,0.817,430.205,352.519,3.22,0.31,6.528e6,0,14.141,0.39,0.39,0.34,0.006,0.044,0.049,0.189,4.319e-4,0,0,0,0,-0.031,0.013,24.13,457.303,4.325,0.257,3.488,-56.5,116.211,297.06,0.05,1.19
58.94,1.461e4,6.809,-9.801,88.587,9.803,5286.952,12.932,5286.967,0.14,88.325,0.207,35.353,-117.749,9.751,0.209,0,-0.016,2.843e-4,6.78e4,5330,130.948,0.817,430.268,352.519,3.222,0.31,6.527e6,0,14.139,0.39,0.39,0.34,0.006,0.044,0.046,0.18,-1.911e-4,0,0,0,0,-0.031,0.013,24.13,457.303,4.031,0.257,3.533,-56.5,116.205,297.06,0.05,1.191
58.99,1.461e4,6.319,-9.796,88.54,9.799,5291.368,12.953,5291.383,0.14,88.314,0.209,35.353,-117.749,9.751,0.178,0,-0.016,2.016e-4,6.78e4,5330,130.948,0.817,430.435,352.519,3.229,0.311,6.555e6,0,14.263,0.39,0.39,0.34,0.006,0.044,0.04,0.158,4.717e-4,0,0,0,0,-0.03,0.013,24.13,457.303,3.738,0.257,3.982,-56.5,116.199,297.06,0.05,1.191
59.04,1.461e4,5.83,-9.793,88.496,9.796,5295.783,12.973,5295.799,0.14,88.304,0.21,35.353,-117.749,9.751,0.16,0,-0.016,1.604e-4,6.78e4,5330,130.948,0.817,430.531,352.519,3.233,0.312,6.563e6,0,14.299,0.39,0.39,0.34,0.006,0.044,0.036,0.144,9.484e-6,0,0,0,0,-0.03,0.013,24.13,457.303,3.448,0.258,4.145,-56.5,116.193,297.06,0.05,1.192
59.09,1.461e4,5.34,-9.79,88.455,9.792,5300.198,12.994,5300.214,0.14,88.293,0.211,35.353,-117.749,9.751,0.141,0,-0.016,9.665e-5,6.78e4,5330,130.948,0.817,430.638,352.519,3.237,0.312,6.575e6,0,14.349,0.39,0.39,0.34,0.006,0.044,0.031,0.13,-2.862e-4,0,0,0,0,-0.029,0.013,24.13,457.303,3.158,0.258,4.349,-56.5,116.188,297.06,0.05,1.192
59.14,1.461e4,4.851,-9.787,88.416,9.789,5304.612,13.015,5304.628,0.141,88.283,0.212,35.353,-117.749,9.751,0.121,0,-0.016,1.682e-5,6.78e4,5330,130.948,0.817,430.741,352.519,3.242,0.313,6.585e6,0,14.396,0.39,0.39,0.34,0.006,0.044,0.027,0.116,-4.938e-4,0,0,0,0,-0.029,0.013,24.13,457.303,2.87,0.259,4.539,-56.5,116.184,297.06,0.05,1.195
59.19,1.461e4,4.361,-9.785,88.38,9.787,5309.026,13.036,5309.042,0.141,88.272,0.21,35.353,-117.749,9.751,0.117,0,-0.016,1.17e-4,6.78e4,5330,130.948,0.817,430.766,352.519,3.243,0.312,6.56e6,0,14.285,0.39,0.39,0.34,0.006,0.044,0.026,0.112,2.888e-4,0,0,0,0,-0.029,0.013,24.13,457.303,2.583,0.259,4.219,-56.5,116.179,297.06,0.05,1.195
59.24,1.461e4,3.872,-9.78,88.347,9.783,5313.439,13.057,5313.455,0.141,88.262,0.213,35.353,-117.749,9.751,0.085,0,-0.016,-1.976e-4,6.78e4,5330,130.948,0.817,430.931,352.519,3.25,0.314,6.601e6,0,14.465,0.39,0.39,0.34,0.006,0.045,0.019,0.089,-4.023e-4,0,0,0,0,-0.029,0.013,24.13,457.303,2.297,0.259,4.832,-56.5,116.176,297.06,0.05,1.196
59.29,1.461e4,3.383,-9.778,88.316,9.78,5317.852,13.078,5317.868,0.141,88.251,0.212,35.353,-117.749,9.751,0.074,0,-0.016,-1.27e-4,6.78e4,5330,130.948,0.817,430.986,352.519,3.252,0.313,6.583e6,0,14.385,0.39,0.39,0.34,0.006,0.044,0.016,0.082,-3.129e-4,0,0,0,0,-0.029,0.013,24.13,457.303,2.012,0.26,4.608,-56.5,116.172,297.06,0.05,1.197
59.34,1.461e4,2.894,-9.775,88.288,9.777,5322.264,13.099,5322.28,0.141,88.24,0.212,35.353,-117.748,9.751,0.057,0,-0.016,-2.341e-4,6.78e4,5330,130.948,0.817,431.074,352.519,3.256,0.313,6.583e6,0,14.385,0.39,0.39,0.34,0.006,0.044,0.013,0.069,4.235e-4,0,0,0,0,-0.028,0.013,24.13,457.303,1.728,0.26,4.636,-56.5,116.169,297.06,0.05,1.198
59.39,1.461e4,2.406,-9.772,88.263,9.774,5326.676,13.12,5326.692,0.141,88.23,0.212,35.353,-117.748,9.751,0.039,0,-0.016,-4.127e-4,6.78e4,5330,130.948,0.817,431.159,352.519,3.259,0.313,6.581e6,0,14.381,0.39,0.39,0.34,0.006,0.044,0.009,0.057,-3.805e-4,0,0,0,0,-0.028,0.013,24.13,457.303,1.444,0.261,4.647,-56.5,116.167,297.06,0.05,1.199
59.44,1.461e4,1.917,-9.769,88.24,9.771,5331.087,13.141,5331.103,0.141,88.219,0.209,35.353,-117.748,9.751,0.03,0,-0.016,3.407e-4,6.78e4,5330,130.948,0.817,431.249,352.519,3.263,0.311,6.534e6,0,14.174,0.39,0.39,0.34,0.006,0.044,0.007,0.05,-3.149e-4,0,0,0,0,-0.029,0.013,24.13,457.303,1.161,0.261,4.004,-56.5,116.165,297.06,0.05,1.199
59.49,1.461e4,1.429,-9.766,88.22,9.768,5335.498,13.162,5335.514,0.141,88.209,0.209,35.353,-117.748,9.751,0.009,0,-0.016,8.838e-4,6.78e4,5330,130.948,0.817,431.396,352.519,3.269,0.31,6.532e6,0,14.165,0.39,0.39,0.34,0.006,0.044,0.002,0.034,-2.74e-4,0,0,0,0,-0.028,0.013,24.13,457.303,0.879,0.261,3.998,-56.5,116.164,297.06,0.05,1.2
59.54,1.461e4,0.941,-9.762,88.203,9.765,5339.908,13.183,5339.924,0.141,88.198,0.208,35.353,-117.748,9.751,0.01,0,0.016,0.002,6.78e4,5330,130.948,0.817,431.208,352.519,3.261,0.309,6.51e6,0,14.069,0.39,0.39,0.34,0.006,0.044,0.002,-0.021,4.671e-4,0,0,0,0,0.028,0.013,24.13,457.303,0.597,0.262,3.702,-56.5,116.162,297.06,0.05,1.201
59.59,1.461e4,0.453,-9.759,88.189,9.761,5344.318,13.205,5344.334,0.142,88.188,0.207,35.353,-117.748,9.751,0.032,0,0.016,8.128e-4,6.78e4,5330,130.948,0.817,431.151,352.519,3.259,0.309,6.494e6,0,13.999,0.39,0.39,0.34,0.006,0.044,0.007,-0.006,-3.683e-4,0,0,0,0,0.029,0.013,24.13,457.303,0.315,0.262,3.49,-56.5,116.162,297.06,0.05,1.202
